"file","lines","non_empty_lines","chars","line_by_line_sha256","file_sha256","changed_vs_first_pass"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssToken.cs","108","98","2965","3166e72baccacb68cae7d5e66018eedd1b2c6417a57525408d3c6ed4365a795c","EDD584F7424B2676CD8E56320FBCBDBA4FFEA25DA6154DC5969D1042AD81E151","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssTokenizer.cs","616","543","20356","9b2347050de3480d8dac7b161a49c8645c79ff5d4d50047e960d18dbdc017a80","0BB1F5A8D211F8877645A1F17F90D375E5B4FD139181F7C774252F85231D6C90","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssTransform3D.cs","492","434","17551","e7182d06392a4aa05d0df6b5822329dfd5c1ca18797db7309d12a6eacab769d7","C820E2C595EC18763DB0A6ADA6DBEBFFA4452812E11EC3770456555F92253316","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssValue.cs","285","251","9481","82a8cf6dc22c84a2643f19080b51ead8e4d750d78280a47957b1efad2276222e","95B0DA988B08ED7F9FEC5BD2B7E5858F4331DC50832EEC611AD202D2720908D3","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssValueParser.cs","633","573","27058","dc79b21810e20877d1c6c752ab05b590337d6b4c9750f8f179864270656fdb58","12D44C4001CE65D315293CB2A62C75445D00D201EF0B5FDFFF2BA32F16B2F127","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\SelectorMatcher.cs","1164","995","40696","db597d4e072e8988db6e799d33f06df48d454b7446e634cc4904bb8d5fd1c09f","6B809591E9565C406CB46BC8C276B852FD0D0FB67F1700DAEC54988671FB45EE","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\CssTransitionEngine.cs","338","307","13775","10b95484542e93f7503a4e30764a1fceaa4a1818f07e1456707e9047705440ba","01EB482E46F32C60B8F51872563F167A414350DB50B96772F6274CCD98CDF111","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\CustomHtmlEngine.cs","1877","1691","82022","2996be64ecb1bc7f5a9fc871c4430522af42a3d359a33ce21296e0e77a36d1af","0ADAD32E0B8557F17F3A635EB9BCA35BDFD474E8A414FC55D21E5B11134147EE","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\DebugOverlay.cs","234","203","8251","6b8bfcc1e85fef8e1066152598d802c7bf4e29d0fa42b59ad9c18306b5150587","AABE538947C675F76907EBB2E85D0AA392A079AC473E4CD1CA40D9553814B340","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\ElementStateManager.cs","581","498","20346","abc722b15cb51f6fdf13ed1d9e162d8899cfcaa65262bad376ff78ff3b11cc77","C61DC721B131E4C2D56AD0D70F7D9F847FCA479D1355A2B173B41315C225F7DF","False"
