"file","lines","characters","score","state","todo","notImplemented","genericException","asyncVoid","emptyCatch","swallowCatch","taskRun","gcCollect","lockUsage","staticMutable","threadSleep","skiaNativeCtor"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\MultiColumnLayoutComputer.cs","155","6940","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\PseudoBox.cs","588","21386","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\ReplacedElementSizing.cs","322","12183","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\ScrollAnchoring.cs","68","2843","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\TableLayoutComputer.cs","595","25289","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\TextLayoutComputer.cs","292","12511","100","production","0","0","0","0","0","0","0","0","0","1","0","1"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\TextLayoutHelper.cs","242","10276","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\TransformParsed.cs","19","555","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Algorithms\BlockLayoutAlgorithm.cs","700","36647","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Algorithms\ILayoutAlgorithm.cs","20","609","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Algorithms\LayoutContext.cs","43","1678","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Algorithms\LayoutHelpers.cs","110","4560","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Contexts\BlockFormattingContext.cs","697","33513","100","production","0","0","0","0","0","0","0","0","0","2","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Contexts\FlexFormattingContext.cs","1702","84357","98","production","0","0","0","0","0","0","0","0","0","2","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Contexts\FloatManager.cs","98","3433","100","production","0","0","0","0","0","0","0","0","0","0","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Contexts\FormattingContext.cs","140","5877","100","production","0","0","0","0","0","0","0","0","0","1","0","0"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Layout\Contexts\GridFormattingContext.cs","288","11168","100","production","0","0","0","0","0","0","0","0","0","2","0","0"
